Minutes played,Field Goals Made,Field Goals Attempted,Field Goals 3 Points Made,Field Goal 3 Points Attempt,Free Throws Made,Free Throws Attempt,Offensive Rebounds,Defensive Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Double-double,Triple-double,Draftkings next game score
5,1,1,0,0,0,0,1,0,0,0,0,0,1,2,0,0,9.5
10,1,1,0,0,0,0,0,6,1,0,0,0,4,2,0,0,6.5
6,0,1,0,0,4,4,1,1,0,0,0,0,2,4,0,0,2.0
4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.25
19,2,2,0,0,0,0,1,4,0,0,1,0,3,4,0,0,19.5
27,5,7,0,0,1,1,2,4,2,0,1,2,3,11,0,0,6.5
13,1,1,0,0,2,2,0,2,0,0,0,0,2,4,0,0,8.5
12,1,1,0,0,2,2,0,2,0,0,1,0,3,4,0,0,2.75
17,0,1,0,0,0,2,0,1,0,2,1,1,2,0,0,0,-0.5
1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,10.25
10,1,2,0,1,2,2,3,2,0,0,0,0,3,4,0,0,5.5
12,1,2,0,0,1,2,0,2,0,1,0,0,2,3,0,0,13.25
22,1,1,0,0,5,6,3,2,1,0,0,0,1,7,0,0,29.25
26,6,8,0,0,2,4,4,3,1,1,2,1,1,14,0,0,31.0
31,3,6,0,0,2,2,1,11,1,2,1,0,2,8,0,0,6.0
17,1,1,0,0,2,2,0,2,1,0,0,1,2,4,0,0,37.0
24,6,7,0,0,2,2,2,6,2,2,1,2,4,14,0,0,14.0
21,1,3,0,1,0,0,3,1,1,2,1,2,3,2,0,0,7.0
15,0,0,0,0,0,0,1,3,0,0,1,0,1,0,0,0,12.5
15,2,3,0,0,0,0,0,2,1,2,0,0,3,4,0,0,9.0
10,2,3,0,0,0,0,2,2,0,1,0,0,1,4,0,0,3.75
8,0,1,0,0,0,0,0,3,0,0,0,0,4,0,0,0,1.25
6,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,18.75
19,3,5,0,1,0,0,3,4,2,0,2,0,4,6,0,0,1.25
4,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2.75
8,0,0,0,0,0,0,0,1,0,1,1,1,5,0,0,0,4.5
15,1,3,0,0,0,0,0,2,0,0,0,0,2,2,0,0,1.25
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.0
6,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,11.25
12,2,3,0,1,2,5,1,2,0,0,1,1,2,6,0,0,8.75
